1000  0.002500  499361  249185
10000  0.207900  49961718  24975864
100000  30.618306  5006995894  2503447952
200000  105.114902  19946180791  9972990404
300000  242.197568  44901614983  22450657498
400000  437.111799  80055949229  40027774620
500000  619.277228  124790068042  62394784027
600000  955.060298  180014842066  90007121038
700000  1313.222865  245576438724  122787869370
800000  1791.881784  319974155056  159986677534
900000  2278.671625  404794186537  202396643276
1000000  2900.027902  500108796201  250053898107
