1000  0.000084  8006  4700
10000  0.001138  120005  62560
100000  0.014434  1500006  844560
200000  0.026136  3200006  1789120
300000  0.043615  5100008  2500880
400000  0.052759  6800006  3778240
500000  0.070801  8500007  4428752
600000  0.090154  10800008  5301760
700000  0.106377  12600009  6413904
800000  0.124701  14400006  7956480
900000  0.139076  16200011  8207632
1000000  0.154852  18000007  9357504
